Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,15p,
"C10, C11, C12, C13, C14, C15, C17, C18, C19, C21, C29, C6, C7, C8, C9",0402,15,100n,
"C16, C23, C3, C4, C5",0402,5,4.7u,
"C20, C22",0603,2,22u,
"C24, C25",0603,2,10u,
"C26, C27, C28, C31",0603,4,100p,
C30,0603,1,1u,
"D1, D2, D3, D4, D5, D6",0603,6,LED,
"FB1, FB2, FB3",0402,3,FerriteBead,
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0_16P,
"J2, J3",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20_Pin,
J4,SMA_BAT_Wireless_BWSMA-KWE-Z001,1,Conn_Coaxial,
"L1, L2, L3",IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,3,AOTA-B201610S3R3-101-T,C42411119
L4,0402,1,470nH,
"R1, R2",0402,2,5.1k,
"R10, R9",0402,2,51k,
R11,0402,1,22k,
R12,0402,1,100k,
R13,0402,1,120,
"R14, R15, R16, R17, R18, R19, R20, R21",0402,8,100,
R22,0402,1,330,
R23,0402,1,51,
"R3, R4",0402,2,27,
"R5, R7",0402,2,1k,
R6,0402,1,33,
R8,0402,1,10k,
SW1,SW-SMD_L3.9-W3.0-P4.45,1,SW_Push,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7",TestPoint_Pad_D1.0mm,7,TestPoint_Alt,
U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,ICE40UP5K-SG48ITR,
U2,RP2350A_QFN-60_EP_7.75x7.75_Pitch0.4mm,1,RP2350A-QFN60,
U3,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,1,W25Q128JVP,
U4,WDFN-10_L3.0-W3.0-P0.50-BL-EP,1,RT8075ZQW,C250416
U5,LED-ARRAY-SMD_4P-L1.6-W0.8-BL-FD,1,TJ-S1608SW6TDSLCCYRGB-A5,C5356078
U6,SOT-343-4_L2.0-W1.3-P1.30-LS2.1-BR,1,SPF5189Z,
U7,MSOP-8_L3.0-W3.0-P0.65-LS4.9-BL,1,AD8313xRM,
U8,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,1,TLV3501AID,
X1,FILTER-SMD_6P-L3.8-W3.8-P1.27-TL-3,1,TA0970B,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
