Designator,Mid X,Mid Y,Rotation,Layer
C1,148.83,-76.71,180.0,top
C10,161.47,-69.62,0.0,top
C11,158.533333,-80.97,270.0,top
C12,155.47,-80.97,270.0,top
C13,154.5,-80.97,270.0,top
C14,156.44,-80.97,270.0,top
C15,151.41,-78.41,180.0,top
C16,151.36,-75.4,180.0,top
C17,157.396667,-80.97,270.0,top
C18,157.65,-68.62,90.0,top
C19,170.75,-69.26,180.0,top
C2,150.82,-72.59,270.0,top
C20,168.705,-79.8075,0.0,top
C21,176.2,-75.24,270.0,top
C22,176.96,-68.68,180.0,top
C23,142.75,-69.19,45.0,top
C24,180.355,-68.58,0.0,top
C25,148.0,-52.525,90.0,top
C26,150.425,-57.0,180.0,top
C27,160.025,-57.1,180.0,top
C28,145.5,-52.725,90.0,top
C29,147.7,-59.12,270.0,top
C3,160.95,-79.99,180.0,top
C30,142.8,-61.275,270.0,top
C31,166.925,-58.4,0.0,top
C4,165.83,-80.1,90.0,top
C5,164.83,-79.07,270.0,top
C6,168.28,-75.88,180.0,top
C7,162.71,-74.99,0.0,top
C8,159.49,-80.97,270.0,top
C9,155.88,-68.63,90.0,top
D1,146.335,-80.42,0.0,top
D2,146.335,-81.89,0.0,top
D3,141.4175,-81.89,0.0,top
D4,141.4175,-80.42,0.0,top
D5,150.2025,-79.97,0.0,top
D6,150.2,-81.5,0.0,top
FB1,146.115,-58.7,0.0,top
FB2,148.315,-54.8,180.0,top
FB3,162.1,-60.385,90.0,top
J1,182.925,-74.8,90.0,top
J2,160.13,-65.2,90.0,bottom
J3,159.805,-83.71,90.0,bottom
J4,172.675,-58.4,270.0,top
L1,163.125,-78.31,90.0,top
L2,173.57,-69.26,0.0,top
L3,173.66,-75.475,0.0,top
L4,162.1,-58.385,90.0,top
R1,183.61,-81.07,0.0,top
R10,170.81,-73.71,90.0,top
R11,176.46,-70.89,270.0,top
R12,176.52,-73.09,270.0,top
R13,135.71,-70.0,90.0,top
R14,135.61,-76.11,270.0,top
R15,135.2,-78.41,270.0,top
R16,143.86,-81.89,0.0,top
R17,143.89,-80.42,0.0,top
R18,138.9525,-81.89,0.0,top
R19,138.9375,-80.42,0.0,top
R2,183.57,-68.46,0.0,top
R20,152.66,-81.5,0.0,top
R21,152.65,-79.97,0.0,top
R22,133.7,-58.19,270.0,top
R23,152.7,-55.59,90.0,top
R3,165.81,-76.55,0.0,top
R4,165.81,-77.55,0.0,top
R5,151.35,-74.41,0.0,top
R6,164.38,-80.57,180.0,top
R7,178.24,-81.12,180.0,top
R8,143.29,-59.0,0.0,top
R9,170.81,-71.0,90.0,top
SW1,173.96,-79.81,0.0,top
U1,140.9275,-74.65,180.0,top
U2,157.085,-74.81,270.0,top
U3,166.885,-71.96,270.0,top
U4,173.59,-72.36,270.0,top
U5,135.31,-73.2875,270.0,top
U6,163.9,-57.75,180.0,top
U7,145.4,-56.72,0.0,top
U8,138.22,-58.3,0.0,top
X1,156.1375,-57.13,180.0,top
Y1,148.51,-74.01,270.0,top
